date,Open,High,Low,Close,Adj_Close,Volume
2002-11-01,1.41,1.43,1.18,1.2,1.2,
2002-12-01,1.21,1.22,1.13,1.18,1.18,
2003-01-01,1.19,1.2,1.13,1.15,1.15,
2003-02-01,1.15,1.19,1.14,1.17,1.17,
2003-03-01,1.17,1.18,1.03,1.09,1.09,
2003-04-01,1.1,1.16,1.08,1.1,1.1,
2003-05-01,1.1,1.11,0.98,1.09,1.09,
2003-06-01,1.09,1.1,0.77,0.84,0.84,
2003-07-01,0.88,0.96,0.83,0.93,0.93,
2003-08-01,0.93,0.98,0.89,0.96,0.96,
2003-09-01,0.96,0.96,0.91,0.93,0.93,
2003-10-01,0.91,0.95,0.87,0.93,0.93,
2003-11-01,0.93,0.94,0.9,0.91,0.91,
2003-12-01,0.91,0.92,0.83,0.91,0.91,
2004-01-01,0.91,0.92,0.84,0.9,0.9,
2004-02-01,0.9,0.94,0.9,0.93,0.93,
2004-03-01,0.93,0.95,0.91,0.92,0.92,
2004-04-01,0.92,1.0,0.91,0.95,0.95,
2004-05-01,0.95,1.06,0.95,1.05,1.05,
2004-06-01,1.05,1.39,1.05,1.3,1.3,
2004-07-01,1.27,1.45,1.18,1.41,1.41,
2004-08-01,1.4,1.58,1.37,1.57,1.57,
2004-09-01,1.56,1.7,1.55,1.67,1.67,
2004-10-01,1.67,1.88,1.65,1.87,1.87,
2004-11-01,1.87,2.19,1.87,2.18,2.18,
2004-12-01,2.17,2.27,2.14,2.18,2.18,
2005-01-01,2.2,2.43,2.2,2.42,2.42,"315,900"
2005-02-01,2.46,2.7,2.42,2.69,2.69,"2,959,200"
2005-03-01,2.7,2.82,2.67,2.72,2.72,"2,008,200"
2005-04-01,2.73,2.87,2.68,2.84,2.84,"631,600"
2005-05-01,2.84,2.89,2.71,2.88,2.88,"474,000"
2005-06-01,2.91,3.08,2.88,3.06,3.06,"158,000"
2005-07-01,3.06,3.36,3.06,3.33,3.33,"473,700"
2005-08-01,3.34,3.51,3.34,3.43,3.43,
2005-09-01,3.43,3.56,3.3,3.47,3.47,
2005-10-01,3.47,3.85,3.36,3.81,3.81,
2005-11-01,3.87,3.93,3.82,3.86,3.86,
2005-12-01,3.85,4.01,3.4,3.98,3.98,
2006-01-01,4.03,4.38,4.01,4.37,4.37,
2006-02-01,4.35,4.51,4.34,4.51,4.51,
2006-03-01,4.5,4.58,4.24,4.51,4.51,
2006-04-01,4.51,4.69,4.5,4.65,4.65,
2006-05-01,4.65,4.85,4.64,4.72,4.72,
2006-06-01,4.72,4.92,4.67,4.86,4.86,
2006-07-01,4.89,5.03,4.86,4.93,4.93,
